Cluster_ID,Descripcion_Cluster,Num_Pozos,Desviacion_Promedio_General_Cluster,Mes_Pico_Desviacion,Valor_Pico_Desviacion_Mes
No Agrupados UMAP,Pozos Atípicos (UMAP),29,3474.01,N/A,N/A
cube38_cluster0,Desviación Prom. Negativa,16,-77.17,2023-01,-1332.00
cube30_cluster0,Desviación Prom. Negativa,2,-64.56,2023-01,-3506.00
cube128_cluster0,Desviación Prom. Negativa,6,-40.38,2023-08,-1288.67
cube139_cluster0,Desviación Prom. Negativa,9,-32.84,2023-07,-555.33
cube37_cluster0,Desviación Prom. Neutra,6,-0.83,N/A,N/A
cube111_cluster0,Desviación Prom. Neutra,6,-0.55,N/A,N/A
cube126_cluster0,Desviación Prom. Neutra,5,-0.30,N/A,N/A
cube145_cluster0,Desviación Prom. Neutra,1,-0.10,N/A,N/A
cube154_cluster0,Desviación Prom. Neutra,143,-0.07,N/A,N/A
cube150_cluster0,Desviación Prom. Neutra,3,-0.06,N/A,N/A
cube153_cluster0,Desviación Prom. Neutra,2,0.00,N/A,N/A
cube151_cluster0,Desviación Prom. Positiva,42,2.05,2021-04,61.43
cube143_cluster0,Desviación Prom. Positiva,36,2.79,2021-02,74.64
cube125_cluster0,Desviación Prom. Positiva,8,3.42,2021-12,128.00
cube66_cluster0,Desviación Prom. Positiva,19,11.87,2023-01,1174.11
cube12_cluster0,Desviación Prom. Positiva,10,13.94,2022-10,510.80
cube114_cluster0,Desviación Prom. Positiva,10,15.48,2023-10,920.50
cube35_cluster0,Desviación Prom. Positiva,15,15.98,2020-12,716.20
cube55_cluster0,Desviación Prom. Positiva,28,16.93,2023-12,1062.14
cube61_cluster0,Desviación Prom. Positiva,11,18.49,2020-11,622.55
cube33_cluster0,Desviación Prom. Positiva,2,22.65,2022-07,758.50
cube123_cluster0,Desviación Prom. Positiva,8,26.28,2021-01,1174.50
cube4_cluster0,Desviación Prom. Positiva,21,27.61,2020-02,1100.33
cube15_cluster0,Desviación Prom. Positiva,14,29.06,2020-09,1295.36
cube56_cluster0,Desviación Prom. Positiva,29,29.82,2023-06,800.90
cube100_cluster0,Desviación Prom. Positiva,7,30.27,2021-06,1180.43
cube11_cluster0,Desviación Prom. Positiva,16,30.37,2022-08,896.62
cube63_cluster0,Desviación Prom. Positiva,3,30.49,2021-08,1463.33
cube39_cluster0,Desviación Prom. Positiva,12,31.52,2022-12,887.67
cube117_cluster0,Desviación Prom. Positiva,25,33.94,2021-10,457.24
cube58_cluster0,Desviación Prom. Positiva,5,36.57,2022-05,927.80
cube0_cluster0,Desviación Prom. Positiva,19,37.19,2020-01,1460.89
cube60_cluster0,Desviación Prom. Positiva,3,38.06,2020-08,1685.00
cube53_cluster0,Desviación Prom. Positiva,7,38.84,2021-08,1126.14
cube14_cluster0,Desviación Prom. Positiva,10,44.61,2020-10,673.60
cube9_cluster0,Desviación Prom. Positiva,18,45.26,2020-07,824.28
cube5_cluster0,Desviación Prom. Positiva,20,46.68,2020-06,566.45
cube13_cluster0,Desviación Prom. Positiva,27,48.79,2021-03,800.85
cube2_cluster0,Desviación Prom. Positiva,35,49.12,2020-03,667.26
cube57_cluster0,Desviación Prom. Positiva,7,64.35,2023-05,1303.43
cube32_cluster0,Desviación Prom. Positiva,23,71.32,2022-06,1885.39
